06-13 20:50:14.225 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:14.373 24166 24189 W OPLUS_LOG_LOAD: ==LOGS PROG INFO, prog(com.oplus.camera) ==
06-13 20:50:14.467 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589315, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:14.468 27331  7911 V Capacitor: callback: 72589315, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:14.477 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:14.718 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589316, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:14.718 27331  7911 V Capacitor: callback: 72589316, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:14.727 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:14.968 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589317, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:14.968 27331  7911 V Capacitor: callback: 72589317, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:14.976 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:15.011  4908  5001 W OPLUS_LOG_LOAD: ==LOGS PROG INFO, prog(com.android.systemui) ==
06-13 20:50:15.217 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589318, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:15.218 27331  7911 V Capacitor: callback: 72589318, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:15.224 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:15.466 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589319, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:15.467 27331  7911 V Capacitor: callback: 72589319, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:15.476 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:15.716 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589320, pluginId: NativeExoPlayback, methodName: getStatus
